cutoff	refined_far_nonlocal_integral	refined_near_nonlocal_integral	dt_relative_error	final_h4_squared	top_shell_energy	initial_far_signed_stretching	initial_far_absolute_pair_stretching
3	2.1119357911033615e-11	7.531711352324228e-12	4.0051956532073167e-05	93.35543948759259	1.0588132752026899e-03	-1.0968974571389324e-02	4.025844953883465e-02
4	3.2028547581309600e-11	8.225358387180041e-12	3.4656622562697576e-05	99.93161964691365	2.6844223717194996e-05	-1.2213061421769693e-02	4.644461070713703e-02
5	3.2155521994754220e-11	8.237451757222760e-12	3.467473004787452e-05	99.99663739771903	6.813156380196557e-08	-1.2224443900823355e-02	4.653502387183199e-02
6	3.2155564838649743e-11	8.237455809078165e-12	3.4677389118831666e-05	100	1.373523729889829e-10	-1.2224445015940827e-02	4.653522911397583e-02
