cutoff	search_initial_objective	search_final_objective	refined_nonlocal_integral	final_h4_squared	projected_gradient_norm	accepted_step	refined_increment	refined_relative_increment
3	1.6060349155055439e-06	1.6184729819750721e-06	1.6184808436439736e-06	100	2.7836083747905974e-07	2.821561381998639e-04	0	0
4	1.6189181610080936e-06	1.6206455112110605e-06	1.6206535001106827e-06	99.99976984067857	4.788700536198658e-07	1.3378550367377784e-05	2.1726564667091e-09	1.342405018098e-03
5	1.620669640350847e-06	1.6207380976096442e-06	1.6207460790828752e-06	99.99993421673231	2.2472512248004527e-07	3.344637591844446e-06	9.25789721925e-11	5.71244667754e-05
