source_state	measured_cutoff	refined_gap_tail_integral	dt_relative_error	retention_from_source
K6	5	1.4909809195692970e-22	4.9469802302500000e-05	2.4529603336633000e-02
K6	6	6.0782920094864980e-21	5.9009769513300000e-05	1.0000000000000000e+00
K6	7	6.0048149816317460e-21	6.4359366216900000e-05	9.8791165000000000e-01
K7	6	1.0525086739505784e-20	5.8391184278700000e-05	8.1123843108506330e-01
K7	7	1.2974097794440120e-20	6.2686942763500000e-05	1.0000000000000000e+00
K7	8	1.2971178151985171e-20	6.2805034681686430e-05	9.9977496373919740e-01
