sobolev_cap	search_initial_objective	search_final_objective	refined_nonlocal_integral	final_h4_squared	accepted_steps	trace_length	steepest_fallbacks
25	4.085893930734694e-09	4.0895404981594566e-08	4.089546244410435e-08	25	9	10	0
50	4.085893930734694e-09	8.295736857624797e-08	8.295754078072875e-08	50	10	11	0
75	4.085893930734694e-09	1.2732306635029911e-07	1.2732335110407246e-07	75	12	13	0
100	2.0694446910201925e-07	2.1017653284822423e-07	2.1017690518191564e-07	99.74309713701811	16	16	0
150	2.0694446910201925e-07	2.546487569740578e-07	2.546492248176147e-07	148.45501752810884	16	16	0
200	2.732268890316451e-07	3.1606188415473343e-07	3.1606255875798665e-07	200	16	16	1
400	3.7470118478652107e-07	4.4678185894139893e-07	4.4678307432123345e-07	396.4453035100073	16	16	0
